OT;Medición;Folio;Punto;COD TSTGO;SIMPT;POE;Comuna;Nombre_Parada;Eje;Sentido;x;y;Fecha;Medidor;Hora;MH;Periodo;PPU;Plazas;Tipo_Bus;UN;Servicio;Sentido_Servicio;TOC_Antes;%_TOC_Antes;Pasajeros_Antes;Bus_Detiene;TOC_Después;%_TOC_Después;Pasajeros_Después;id_punto
OT25;Paradero;195;24;T-7-51-NS-20;PI68;;;;;NS;-33.45785129;-70.68969643;07/10/2019;Nicolas  Martinez Del Campo;19:58:43;19:30;9;LDJV43;;;;105;I;4B;0.00;0.00;0;4B;0.00;0.00;24_PT_NS
OT25;Paradero;26;24;T-7-51-NS-20;PI68;;;;;NS;-33.4578841;-70.6896546;07/10/2019;Marjorie Cerda Acevedo;19:07:31;19:00;9;LDJV45;95;B2;U6;105;I;4A;0.77;72.70;0;4A;0.77;72.70;24_PT_NS
OT25;Paradero;174;24;T-7-51-NS-20;PI68;;;;;NS;-33.45795514;-70.6895897;07/10/2019;Nicolas  Martinez Del Campo;19:04:04;19:00;9;LDJW44;95;B2;U6;105;I;4A;0.77;72.70;0;4A;0.77;72.70;24_PT_NS
OT25;Paradero;20;24;T-7-51-NS-20;PI68;;;;;NS;-33.4579376;-70.6897403;07/10/2019;Marjorie Cerda Acevedo;18:38:55;18:30;9;LDJW49;95;B2;U6;105;I;1B;0.15;14.54;0;1B;0.15;14.54;24_PT_NS
OT25;Paradero;154;24;T-7-51-NS-20;PI68;;;;;NS;-33.45781901;-70.68962438;07/10/2019;Nicolas  Martinez Del Campo;18:09:25;18:00;9;LDJX68;152;C2;U6;105;I;3;0.38;57.00;0;3;0.38;57.00;24_PT_NS
OT25;Paradero;146;24;T-7-51-NS-20;PI68;;;;;NS;-33.45795571;-70.68974814;07/10/2019;Nicolas  Martinez Del Campo;17:44:41;17:30;9;LDTB39;95;B2;U6;105;I;4A;0.77;72.70;1;4B;0.77;72.70;24_PT_NS
OT25;Paradero;6;24;T-7-51-NS-20;PI68;;;;;NS;-33.4579013;-70.6897048;07/10/2019;Marjorie Cerda Acevedo;17:53:35;17:30;9;LDTB84;95;B2;U6;105;I;1B;0.15;14.54;1;1B;0.15;14.54;24_PT_NS
OT25;Paradero;30;24;T-7-51-NS-20;PI68;;;;;NS;-33.4579015;-70.6896568;07/10/2019;Marjorie Cerda Acevedo;19:10:26;19:00;9;LDTB85;95;B2;U6;105;I;3;0.61;58.16;0;3;0.61;58.16;24_PT_NS
OT25;Paradero;15;24;T-7-51-NS-20;PI68;;;;;NS;-33.4578472;-70.6897132;07/10/2019;Marjorie Cerda Acevedo;18:18:03;18:00;9;LDTB86;95;B2;U6;105;I;2;0.45;42.75;1;3;0.61;58.16;24_PT_NS
OT25;Paradero;167;24;T-7-51-NS-20;PI68;;;;;NS;-33.45791799;-70.68969034;07/10/2019;Nicolas  Martinez Del Campo;18:50:46;18:30;9;LDTB89;95;B2;U6;105;I;4A;0.77;72.70;0;4A;0.77;72.70;24_PT_NS
OT25;Paradero;17;24;T-7-51-NS-20;PI68;;;;;NS;-33.4578386;-70.6896617;07/10/2019;Marjorie Cerda Acevedo;18:23:36;18:00;9;LDTB90;95;B2;U6;105;I;3;0.61;58.16;0;3;0.61;58.16;24_PT_NS
OT25;Paradero;176;24;T-7-51-NS-20;PI68;;;;;NS;-33.45786858;-70.68964364;07/10/2019;Nicolas  Martinez Del Campo;19:06:58;19:00;9;LDTB96;95;B2;U6;105;I;2;0.45;42.75;1;2;0.45;42.75;24_PT_NS
OT25;Paradero;198;24;T-7-51-NS-20;PI68;;;;;NS;-33.45790663;-70.68977443;07/10/2019;Nicolas  Martinez Del Campo;20:02:26;20:00;9;LDTB98;95;B2;U6;105;I;4A;0.77;72.70;0;4A;0.77;72.70;24_PT_NS
OT25;Paradero;204;24;T-7-51-NS-20;PI68;;;;;NS;-33.45785294;-70.6896285;07/10/2019;Nicolas  Martinez Del Campo;20:18:49;20:00;9;LDTB99;95;B2;U6;105;I;2;0.45;42.75;1;2;0.45;42.75;24_PT_NS
