periodo;ss;id_aforo;paradero
4;101I;460_PM_SP;T-2-9-OP-20
4;101I;360_PM_SP;T-2-9-OP-35
4;101I;246_PM_SP;E-2-9-OP-55
4;101I;380_PM_NP;T-5-38-OP-20
4;101I;8_PM_SP;E-5-38-NS-5
4;101I;224_PM_SP;T-7-48-OP-45
4;101I;227_PM_SP;T-13-375-NS-15
4;101R;273_PM_NP;L-12-25-20-SN
4;101R;274_PM_NO;T-7-48-PO-10
4;101R;223_PM_SP;T-7-48-PO-35
4;101R;252_PM_NP;T-7-52-SN-25
4;101R;479_PM_NP;T-7-52-SN-40
4;101R;351_PM_SO;T-5-38-PO-10
4;101R;247_PM_NO;E-5-38-PO-30
4;101R;461_PM_NO;T-1-1-PO-15
4;102I;222_PM_NP;L-7-6-10-SN
4;102I;238_PM_NP;L-7-6-5-SN
4;102I;210_PM_SO;T-28-89-PO-30
4;102I;521_PM_SO;T-21-89-PO-27
4;102I;522_PM_SO;T-21-89-PO-35
4;102I;48_PM_SO;T-33-264-NS-65
4;102I;50_PM_SO;T-33-264-NS-80
4;102I;51_PM_SO;T-34-269-NS-15
4;102I;52_PM_SP;T-34-269-NS-20
4;102R;1_PM_NO;T-34-269-SN-10
4;102R;511_PM_NP;T-31-89-OP-30
4;102R;512_PM_NP;T-21-89-OP-5
4;102R;211_PM_NP;T-25-89-OP-20
4;102R;514_PM_NP;T-12-90-OP-5
4;102R;252_PM_NP;T-7-52-SN-25
4;102R;236_PM_NO;L-7-34-5-SN
4;103I;283_PM_SP;T-18-127-NS-15
4;103I;511_PM_NP;T-31-89-OP-20
4;103I;512_PM_NP;T-21-89-OP-5
4;103R;521_PM_SO;T-21-89-PO-27
4;103R;522_PM_SO;L-21-9-5-PO
4;103R;284_PM_NO;T-31-127-SN-30
4;104IPM;41_PM_SP;T-18-154-NS-20
4;104IPM;5_PM_SO;T-31-254-NS-30
4;104IPM;3_PM_SO;T-31-254-NS-52
4;104IPM;48_PM_SO;T-33-264-NS-65
4;104IPM;50_PM_SO;T-33-264-NS-80
4;104IPM;51_PM_SO;T-34-269-NS-20
4;104IPM;52_PM_SP;T-34-269-NS-20
4;104R;1_PM_NO;T-34-269-SN-10
4;104R;2_PM_NP;E-32-254-SN-5
4;104R;4_PM_NP;T-31-254-SN-13
4;104R;6_PM_NO;T-31-254-SN-35
4;105I;519_PM_SO;L-5-5-5-PO
4;105I;520_PM_NO;L-5-30-10-NS
4;105I;7_PM_SO;T-5-30-PO-6
