ot;periodo;serviciousuariots;paradero;punto;toc;varianza;n;fecha;IC;match
OT25;4.0;108I;T-13-278-PO-5;12;58.792666666666676;587.63259992;15;10/08/2019;12.267706647543301;True
OT25;4.0;109R;T-13-278-PO-5;12;67.576875;259.02541663000005;15;10/08/2019;8.144822652154796;True
OT25;4.0;113I;E-20-188-SN-55;21;0.0;0.0;2;10/08/2019;0.0;True
OT25;4.0;113I;L-28-3-PO-35;14;23.7025;373.85302500000006;7;10/08/2019;14.32377534451026;True
OT25;4.0;115I;E-20-188-SN-55;21;0.0;0.0;4;10/08/2019;0.0;True
OT25;4.0;115I;L-28-3-PO-35;14;21.16866666666667;1015.43373329;15;10/08/2019;16.126355715219447;True
OT25;4.0;118I;T-13-278-PO-5;12;59.81636363636364;361.71964997;11;10/08/2019;11.239468635631361;True
OT25;4.0;118R;T-26-12-OP-15;2;56.7125;153.56801666;4;10/08/2019;12.144411191995436;True
OT25;4.0;118R;T-26-12-OP-35;3;75.157;376.53674580999996;10;10/08/2019;12.027067650527684;True
OT25;4.0;120R;T-26-12-OP-35;3;35.6890909090909;0.0;0;10/08/2019;;True
OT25;4.0;121R;L-28-8-SN-10;13;66.73636363636363;265.81070830000004;11;10/08/2019;9.634872349040135;True
OT25;4.0;125R;L-28-3-PO-35;14;48.96;380.1983499700001;10;10/08/2019;12.085404342614078;True
OT25;4.0;203R;E-20-205-SN-60;18;49.52000000000001;1916.5180329500001;26;10/08/2019;16.827742290383643;True
OT25;4.0;203R;E-22-205-SN-33;6;55.505250000000004;2755.87763921;40;10/08/2019;16.26881951678512;True
OT25;4.0;205I;E-20-205-SN-55;19;7.684285714285714;1542.340333;42;10/08/2019;11.877404140849409;True
OT25;4.0;205R;E-22-205-SN-32;8;67.58333333333333;535.32530621;12;10/08/2019;13.091045592109696;True
OT25;4.0;205R;T-22-205-SN-40;7;55.47666666666667;552.65201243;12;10/08/2019;13.30121539230873;True
OT25;4.0;206R;E-22-205-SN-33;6;64.65;589.54870827;10;10/08/2019;15.049286752833277;True
OT25;4.0;209I;E-20-205-SN-55;19;19.55410256410256;2811.34983686;39;10/08/2019;16.6410687012594;True
OT25;4.0;209R;E-22-205-SN-32;8;75.655;687.16773121;12;10/08/2019;14.831901306014727;True
OT25;4.0;209R;T-22-205-SN-40;7;59.90214285714285;827.21881656;14;10/08/2019;15.066148919483838;True
OT25;4.0;211I;T-26-12-OP-15;2;37.89666666666667;313.56707499000004;6;10/08/2019;14.169211194708902;True
OT25;4.0;212R;E-22-205-SN-33;6;58.696363636363635;1439.76775609;22;10/08/2019;15.85590198660673;True
OT25;4.0;229R;L-24-1-SN-5;17;44.79692307692308;814.62353529;13;10/08/2019;15.515396257043577;True
OT25;4.0;229R;T-26-12-OP-15;2;60.13666666666667;490.22278747;9;10/08/2019;14.465437199464077;True
OT25;4.0;230R;E-22-205-SN-32;8;88.6842105263158;1418.3140186899996;19;10/08/2019;16.934230568817362;True
OT25;4.0;230R;T-22-205-SN-40;7;71.52000000000001;1232.55552911;18;10/08/2019;16.218962359995263;True
OT25;4.0;302R;E-20-188-SN-55;21;15.0;216.09;3;10/08/2019;16.634615955891498;True
OT25;4.0;302R;L-24-1-SN-5;17;13.194285714285716;1286.7204;21;10/08/2019;15.342230992916253;True
OT25;4.0;302R;T-26-12-OP-15;2;27.793333333333333;474.56989999;9;10/08/2019;14.232621870593173;True
OT25;4.0;302R;T-26-12-OP-35;3;26.82;888.2899666499999;15;10/08/2019;15.083003095941335;True
OT25;4.0;329I;L-26-10-PO-30;5;24.606666666666666;227.63100833299998;9;10/08/2019;9.857130986764256;True
OT25;4.0;348I;T-13-278-PO-5;12;51.45272727272727;281.6691;11;10/08/2019;9.918119389921017;True
OT25;4.0;350R;T-13-278-PO-5;12;36.495999999999995;201.648268749;10;10/08/2019;8.801431640512574;True
OT25;4.0;385I;L-7-3-SN-5;1;38.74181818181819;379.96138124999993;11;10/08/2019;11.519389354909398;True
OT25;4.0;385R;L-21-19-OP-3;16;25.11333333333333;483.9115500000001;9;10/08/2019;14.372019924840073;True
OT25;4.0;403R;T-20-188-SN-57;20;13.985999999999999;1012.3491664000001;15;10/08/2019;16.101843699076284;True
OT25;4.0;412I;L-19-28-PO-100;9;18.80333333333333;377.92524162999996;6;10/08/2019;15.555479250336026;True
OT25;4.0;412I;L-9-19-PO-35;11;68.35166666666667;380.61421873;12;10/08/2019;11.038446383259618;True
OT25;4.0;421I;T-13-278-PO-5;12;45.98294117647059;1210.51946643;17;10/08/2019;16.53931427242995;True
OT25;4.0;D02I;L-19-16-PO-25;23;24.852;210.4866;5;10/08/2019;12.71695971968143;True
OT25;4.0;D02IPM;L-19-16-PO-25;23;24.852;210.4866;5;10/08/2019;12.71695971968143;True
OT25;4.0;D02R;L-19-16-OP-20;10;16.050000000000004;306.8847;7;10/08/2019;12.97760853778538;True
OT25;4.0;D02RPM;L-19-16-OP-20;10;16.050000000000004;306.8847;7;10/08/2019;12.97760853778538;True
OT25;4.0;D07I;L-21-19-OP-3;16;24.5075;505.15987499999994;8;10/08/2019;15.574908409843056;True
OT25;4.0;D08R;L-19-28-PO-100;9;23.855;288.51525000000004;6;10/08/2019;13.591419992039098;True
OT25;4.0;D18R;L-19-28-PO-100;9;14.3025;255.81719999999999;4;10/08/2019;15.674400750267935;True
OT25;4.0;D18RPM;L-19-28-PO-100;9;14.3025;255.81719999999999;4;10/08/2019;15.674400750267935;True
OT25;4.0;E04I;L-21-19-OP-3;16;25.32;609.37379999;10;10/08/2019;15.300230031086407;True
OT25;4.0;G01I;L-26-10-PO-30;5;18.046666666666663;476.25833331999996;12;10/08/2019;12.347719132435325;True
OT25;4.0;G01R;E-22-205-SN-33;6;36.13666666666667;230.19972498299998;9;10/08/2019;9.912591675320462;True
OT25;4.0;G12I;T-26-12-OP-35;3;13.932500000000001;219.42416666;8;10/08/2019;10.264866527633567;True
OT25;4.0;G18R;L-26-10-PO-30;5;11.894666666666668;753.3299999999999;15;10/08/2019;13.890026465057579;True
OT25;4.0;H04R;L-28-3-PO-35;14;24.518181818181816;650.27409999;11;10/08/2019;15.069816257918234;True
OT25;4.0;H06I;L-28-3-PO-35;14;40.1125;301.45510832;8;10/08/2019;12.03157275734407;True
OT25;4.0;H06I;L-28-8-SN-10;13;62.4;94.53696665000001;8;10/08/2019;6.737703717538342;True
OT25;4.0;I01I;T-13-278-PO-5;12;28.26923076923077;666.9279937500002;13;10/08/2019;14.038602222745027;True
OT25;4.0;I03I;T-13-278-PO-5;12;34.39625;732.9430312500001;16;10/08/2019;13.265731106996139;True
OT25;4.0;I03IPM;T-13-278-PO-5;12;34.39625;732.9430312500001;16;10/08/2019;13.265731106996139;True
OT25;4.0;I05I;T-13-278-PO-5;12;53.165000000000006;223.48655625;8;10/08/2019;10.359451931026562;True
OT25;4.0;I09I;T-13-278-PO-5;12;53.62461538461538;0.0;0;10/08/2019;;True
OT25;4.0;I10I;T-13-278-PO-5;12;35.986875;598.997325;16;10/08/2019;11.992466707583558;True
OT25;4.0;I12I;T-13-278-PO-5;12;51.85333333333333;0.0;0;10/08/2019;;True
OT25;4.0;I16R;L-7-3-SN-5;1;14.229999999999999;648.6750000000002;10;10/08/2019;15.785911060182748;True
OT25;4.0;I17I;L-7-3-SN-5;1;38.512857142857136;284.78634375;7;10/08/2019;12.501629711761582;True
OT25;4.0;I18I;T-13-278-PO-5;12;31.155;370.4682;8;10/08/2019;13.337872005683666;True
OT25;4.0;I24I;T-13-278-PO-5;12;54.488749999999996;149.427683333;8;10/08/2019;8.470842551748119;True
OT25;4.0;J02I;L-9-19-PO-35;11;25.942;208.998233323;10;10/08/2019;8.960399617950289;True
OT25;4.0;J11I;L-10-67-PO-40;15;31.535;119.411533323;8;10/08/2019;7.572411656909877;True
OT25;4.0;J12R;L-10-67-PO-40;15;46.2125;448.30914582;12;10/08/2019;11.97992909892108;True
OT25;4.0;J18I;L-9-19-PO-35;11;65.88000000000001;262.43759162000003;15;10/08/2019;8.198293529621036;True
OT25;6.0;G01I;L-26-10-PO-30;5;12.0;36.75;1;10/08/2019;11.881868539922499;True
OT25;9.0;105I;T-7-51-NS-20;24;57.85181818181818;0.0;0;10/07/2019;;True
OT25;9.0;113RPM;L-28-3-OP-40;27;16.27;613.7001750000001;10;10/07/2019;15.354447539003154;True
OT25;9.0;113R;L-28-3-OP-40;27;16.27;613.7001750000001;10;10/07/2019;15.354447539003154;True
OT25;9.0;115RPM;L-28-3-OP-40;27;17.526;1083.4817999299999;15;10/07/2019;16.65793841308319;True
OT25;9.0;115R;L-28-3-OP-40;27;17.526;1083.4817999299999;15;10/07/2019;16.65793841308319;True
OT25;9.0;120I;T-7-51-NS-20;24;62.00555555555556;0.0;0;10/07/2019;;True
OT25;9.0;121I;L-28-8-NS-15;28;64.59473684210526;421.87570827;19;10/07/2019;9.235736430586618;True
OT25;9.0;125I;L-28-3-OP-40;27;14.0;1008.4199999999998;15;10/07/2019;16.07056578966652;True
OT25;9.0;203I;E-20-199-NS-25;32;56.570882352941176;2792.66676216;34;10/07/2019;17.763403086711616;True
OT25;9.0;203I;T-20-201-NS-6;33;63.28303030303031;2701.2548600400005;33;10/07/2019;17.732986443118037;True
OT25;9.0;206I;E-20-199-NS-25;32;46.595555555555556;1166.11727066;18;10/07/2019;15.77578331734972;True
OT25;9.0;206I;T-20-201-NS-6;33;59.44562500000001;949.85691864;16;10/07/2019;15.10167693223054;True
OT25;9.0;208I;E-20-199-NS-25;32;6.032083333333333;494.87644152999997;24;10/07/2019;8.90018103229191;True
OT25;9.0;214R;E-20-199-NS-25;32;40.60714285714287;546.59878125;14;10/07/2019;12.24690595926171;True
OT25;9.0;214R;T-20-201-NS-6;33;32.99833333333334;555.64419375;12;10/07/2019;13.337174659293476;True
OT25;9.0;226I;E-20-199-NS-25;32;38.243333333333325;1080.6484498599998;21;10/07/2019;14.060107506501836;True
OT25;9.0;230I;E-20-199-NS-25;32;51.30033333333335;1939.6369080799998;30;10/07/2019;15.759980061408841;True
OT25;9.0;302I;E-20-188-NS-25;29;37.565599999999996;1198.5985166199998;25;10/07/2019;13.571346376019429;True
OT25;9.0;385I;T-20-201-NS-6;33;25.450000000000006;490.77669375000005;15;10/07/2019;11.21120792394825;True
OT25;9.0;385R;T-7-51-NS-20;24;57.83214285714287;324.3014625;14;10/07/2019;9.433362142417728;True
OT25;9.0;424R;T-20-201-NS-6;33;7.140000000000001;141.98853333;10;10/07/2019;7.385547709144718;True
OT25;9.0;506I;T-20-189-PO-20;30;30.996086956521744;1528.6647830399997;23;10/07/2019;15.978951685871369;True
OT25;9.0;507I;T-20-189-PO-20;30;28.069000000000003;1495.6653416000001;26;10/07/2019;14.86574272548823;True
OT25;9.0;510I;T-20-189-PO-20;30;33.572500000000005;786.4574416400001;16;10/07/2019;13.741485790763821;True
OT25;9.0;H04I;L-28-3-OP-40;27;17.425;834.66763333;12;10/07/2019;16.346404243238858;True
OT25;9.0;H06R;L-28-3-OP-40;27;17.115;733.47283333;11;10/07/2019;16.004855048960295;True
OT25;9.0;H06R;L-28-8-NS-15;28;39.68500000000001;505.48957497000004;13;10/07/2019;12.221949835643287;True
OT25;9.0;H06R;T-20-189-PO-20;30;12.059000000000001;204.74976666;9;10/07/2019;9.348598846892369;True
OT25;9.0;I04R;T-7-51-NS-20;24;58.25454545454546;487.0300083299999;22;10/07/2019;9.22194635342662;True
OT25;9.0;I13R;T-7-51-NS-20;24;45.85692307692308;415.17001875000005;13;10/07/2019;11.076368274671706;True
OT25;9.0;I14R;T-7-51-NS-20;24;59.449999999999996;602.6044020200001;23;10/07/2019;10.032480015039917;True
