tipo_bus;plazas;toc_categoria;porcentaje;carga;a;b;var
A1;42;0;0;0;0;0;0
A1;42;1;0.24;10.08;0;17.64;25.9308
A1;42;2;0.6;25.2;17.64;29.4;11.5248
A1;42;3;0.8;33.6;29.4;35.7;3.3075
A1;42;4;0.9;37.8;35.7;39.06;0.9408
A1;42;5A;0.96;40.32;39.06;41.16;0.3675
A1;42;5B;1;42;41.16;42;0.0588
A1;44;0;0;0;0;0;0
A1;44;1;0.24;10.56;0;18.48;28.4592
A1;44;2;0.6;26.4;18.48;30.8;12.64853333
A1;44;3;0.8;35.2;30.8;37.4;3.63
A1;44;4;0.9;39.6;37.4;40.92;1.032533333
A1;44;5A;0.96;42.24;40.92;43.12;0.403333333
A1;44;5B;1;44;43.12;44;0.064533333
A1;46;0;0;0;0;0;0
A1;46;1;0.24;11.04;0;19.32;31.1052
A1;46;2;0.6;27.6;19.32;32.2;13.82453333
A1;46;3;0.8;36.8;32.2;39.1;3.9675
A1;46;4;0.9;41.4;39.1;42.78;1.128533333
A1;46;5A;0.96;44.16;42.78;45.08;0.440833333
A1;46;5B;1;46;45.08;46;0.070533333
A1;47;0;0;0;0;0;0
A1;47;1;0.24;11.28;0;19.74;32.4723
A1;47;2;0.6;28.2;19.74;32.9;14.43213333
A1;47;3;0.8;37.6;32.9;39.95;4.141875
A1;47;4;0.9;42.3;39.95;43.71;1.178133333
A1;47;5A;0.96;45.12;43.71;46.06;0.460208333
A1;47;5B;1;47;46.06;47;0.073633333
A1;48;0;0;0;0;0;0
A1;48;1;0.24;11.52;0;20.16;33.8688
A1;48;2;0.6;28.8;20.16;33.6;15.0528
A1;48;3;0.8;38.4;33.6;40.8;4.32
A1;48;4;0.9;43.2;40.8;44.64;1.2288
A1;48;5A;0.96;46.08;44.64;47.04;0.48
A1;48;5B;1;48;47.04;48;0.0768
A1;49;0;0;0;0;0;0
A1;49;1;0.24;11.76;0;20.58;35.2947
A1;49;2;0.6;29.4;20.58;34.3;15.68653333
A1;49;3;0.8;39.2;34.3;41.65;4.501875
A1;49;4;0.9;44.1;41.65;45.57;1.280533333
A1;49;5A;0.96;47.04;45.57;48.02;0.500208333
A1;49;5B;1;49;48.02;49;0.080033333
A1;50;0;0;0;0;0;0
A1;50;1;0.24;12;0;21;36.75
A1;50;2;0.6;30;21;35;16.33333333
A1;50;3;0.8;40;35;42.5;4.6875
A1;50;4;0.9;45;42.5;46.5;1.333333333
A1;50;5A;0.96;48;46.5;49;0.520833333
A1;50;5B;1;50;49;50;0.083333333
A1;53;0;0;0;0;0;0
A1;53;1;0.24;12.72;0;22.26;41.2923
A1;53;2;0.6;31.8;22.26;37.1;18.35213333
A1;53;3;0.8;42.4;37.1;45.05;5.266875
A1;53;4;0.9;47.7;45.05;49.29;1.498133333
A1;53;5A;0.96;50.88;49.29;51.94;0.585208333
A1;53;5B;1;53;51.94;53;0.093633333
A1;54;0;0;0;0;0;0
A1;54;1;0.24;12.96;0;22.68;42.8652
A1;54;2;0.6;32.4;22.68;37.8;19.0512
A1;54;3;0.8;43.2;37.8;45.9;5.4675
A1;54;4;0.9;48.6;45.9;50.22;1.5552
A1;54;5A;0.96;51.84;50.22;52.92;0.6075
A1;54;5B;1;54;52.92;54;0.0972
A1;56;0;0;0;0;0;0
A1;56;1;0.24;13.44;0;23.52;46.0992
A1;56;2;0.6;33.6;23.52;39.2;20.48853333
A1;56;3;0.8;44.8;39.2;47.6;5.88
A1;56;4;0.9;50.4;47.6;52.08;1.672533333
A1;56;5A;0.96;53.76;52.08;54.88;0.653333333
A1;56;5B;1;56;54.88;56;0.104533333
A2;60;0;0;0;0;0;0
A2;60;1;0.3;18;0;26.4;58.08
A2;60;2;0.58;34.8;26.4;38.4;12
A2;60;3;0.7;42;38.4;45;3.63
A2;60;4;0.8;48;45;51.6;3.63
A2;60;5A;0.92;55.2;51.6;57.6;3
A2;60;5B;1;60;57.6;60;0.48
A2;65;0;0;0;0;0;0
A2;65;1;0.3;19.5;0;28.6;68.16333333
A2;65;2;0.58;37.7;28.6;41.6;14.08333333
A2;65;3;0.7;45.5;41.6;48.75;4.260208333
A2;65;4;0.8;52;48.75;55.9;4.260208333
A2;65;5A;0.92;59.8;55.9;62.4;3.520833333
A2;65;5B;1;65;62.4;65;0.563333333
B;81;0;0;0;0;0;0
B;81;1;0.15;12.15;0;24.3;49.2075
B;81;2;0.45;36.45;24.3;42.93;28.923075
B;81;3;0.61;49.41;42.93;55.89;13.9968
B;81;4;0.77;62.37;55.89;67.635;11.49541875
B;81;5A;0.9;72.9;67.635;76.95;7.23076875
B;81;5B;1;81;76.95;81;1.366875
B;87;0;0;0;0;0;0
B;87;1;0.15;13.05;0;26.1;56.7675
B;87;2;0.45;39.15;26.1;46.11;33.366675
B;87;3;0.61;53.07;46.11;60.03;16.1472
B;87;4;0.77;66.99;60.03;72.645;13.26151875
B;87;5A;0.9;78.3;72.645;82.65;8.34166875
B;87;5B;1;87;82.65;87;1.576875
B;90;0;0;0;0;0;0
B;90;1;0.15;13.5;0;27;60.75
B;90;2;0.45;40.5;27;47.7;35.7075
B;90;3;0.61;54.9;47.7;62.1;17.28
B;90;4;0.77;69.3;62.1;75.15;14.191875
B;90;5A;0.9;81;75.15;85.5;8.926875
B;90;5B;1;90;85.5;90;1.6875
B;93;0;0;0;0;0;0
B;93;1;0.15;13.95;0;27.9;64.8675
B;93;2;0.45;41.85;27.9;49.29;38.127675
B;93;3;0.61;56.73;49.29;64.17;18.4512
B;93;4;0.77;71.61;64.17;77.655;15.15376875
B;93;5A;0.9;83.7;77.655;88.35;9.53191875
B;93;5B;1;93;88.35;93;1.801875
B;96;0;0;0;0;0;0
B;96;1;0.15;14.4;0;28.8;69.12
B;96;2;0.45;43.2;28.8;50.88;40.6272
B;96;3;0.61;58.56;50.88;66.24;19.6608
B;96;4;0.77;73.92;66.24;80.16;16.1472
B;96;5A;0.9;86.4;80.16;91.2;10.1568
B;96;5B;1;96;91.2;96;1.92
B;97;0;0;0;0;0;0
B;97;1;0.15;14.55;0;29.1;70.5675
B;97;2;0.45;43.65;29.1;51.41;41.47800833
B;97;3;0.61;59.17;51.41;66.93;20.07253333
B;97;4;0.77;74.69;66.93;80.995;16.48535208
B;97;5A;0.9;87.3;80.995;92.15;10.36950208
B;97;5B;1;97;92.15;97;1.960208333
B;99;0;0;0;0;0;0
B;99;1;0.15;14.85;0;29.7;73.5075
B;99;2;0.45;44.55;29.7;52.47;43.206075
B;99;3;0.61;60.39;52.47;68.31;20.9088
B;99;4;0.77;76.23;68.31;82.665;17.17216875
B;99;5A;0.9;89.1;82.665;94.05;10.80151875
B;99;5B;1;99;94.05;99;2.041875
B;100;0;0;0;0;0;0
B;100;1;0.15;15;0;30;75
B;100;2;0.45;45;30;53;44.08333333
B;100;3;0.61;61;53;69;21.33333333
B;100;4;0.77;77;69;83.5;17.52083333
B;100;5A;0.9;90;83.5;95;11.02083333
B;100;5B;1;100;95;100;2.083333333
B;102;0;0;0;0;0;0
B;102;1;0.15;15.3;0;30.6;78.03
B;102;2;0.45;45.9;30.6;54.06;45.8643
B;102;3;0.61;62.22;54.06;70.38;22.1952
B;102;4;0.77;78.54;70.38;85.17;18.228675
B;102;5A;0.9;91.8;85.17;96.9;11.466075
B;102;5B;1;102;96.9;102;2.1675
B;108;0;0;0;0;0;0
B;108;1;0.15;16.2;0;32.4;87.48
B;108;2;0.45;48.6;32.4;57.24;51.4188
B;108;3;0.61;65.88;57.24;74.52;24.8832
B;108;4;0.77;83.16;74.52;90.18;20.4363
B;108;5A;0.9;97.2;90.18;102.6;12.8547
B;108;5B;1;108;102.6;108;2.43
B;102;0;0;0;0;0;0
B;102;1;0.15;15.3;0;30.6;78.03
B;102;2;0.45;45.9;30.6;54.06;45.8643
B;102;3;0.61;62.22;54.06;70.38;22.1952
B;102;4;0.77;78.54;70.38;85.17;18.228675
B;102;5A;0.9;91.8;85.17;96.9;11.466075
B;102;5B;1;102;96.9;102;2.1675
B1;85;0;0;0;0;0;0
B1;85;1;0.15;12.75;0;25.5;54.1875
B1;85;2;0.45;38.25;25.5;45.05;31.85020833
B1;85;3;0.61;51.85;45.05;58.65;15.41333333
B1;85;4;0.77;65.45;58.65;70.975;12.65880208
B1;85;5A;0.9;76.5;70.975;80.75;7.962552083
B1;85;5B;1;85;80.75;85;1.505208333
B1;94;0;0;0;0;0;0
B1;94;1;0.15;14.1;0;28.2;66.27
B1;94;2;0.45;42.3;28.2;49.82;38.95203333
B1;94;3;0.61;57.34;49.82;64.86;18.85013333
B1;94;4;0.77;72.38;64.86;78.49;15.48140833
B1;94;5A;0.9;84.6;78.49;89.3;9.738008333
B1;94;5B;1;94;89.3;94;1.840833333
B1;95;0;0;0;0;0;0
B1;95;1;0.15;14.25;0;28.5;67.6875
B1;95;2;0.45;42.75;28.5;50.35;39.78520833
B1;95;3;0.61;57.95;50.35;65.55;19.25333333
B1;95;4;0.77;73.15;65.55;79.325;15.81255208
B1;95;5A;0.9;85.5;79.325;90.25;9.946302083
B1;95;5B;1;95;90.25;95;1.880208333
B1;96;0;0;0;0;0;0
B1;96;1;0.15;14.4;0;28.8;69.12
B1;96;2;0.45;43.2;28.8;50.88;40.6272
B1;96;3;0.61;58.56;50.88;66.24;19.6608
B1;96;4;0.77;73.92;66.24;80.16;16.1472
B1;96;5A;0.9;86.4;80.16;91.2;10.1568
B1;96;5B;1;96;91.2;96;1.92
B1;98;0;0;0;0;0;0
B1;98;1;0.15;14.7;0;29.4;72.03
B1;98;2;0.45;44.1;29.4;51.94;42.33763333
B1;98;3;0.61;59.78;51.94;67.62;20.48853333
B1;98;4;0.77;75.46;67.62;81.83;16.82700833
B1;98;5A;0.9;88.2;81.83;93.1;10.58440833
B1;98;5B;1;98;93.1;98;2.000833333
B2;81;0;0;0;0;0;0
B2;81;1;0.15;12.15;0;24.3;49.2075
B2;81;2;0.45;36.45;24.3;42.93;28.923075
B2;81;3;0.61;49.41;42.93;55.89;13.9968
B2;81;4;0.77;62.37;55.89;67.635;11.49541875
B2;81;5A;0.9;72.9;67.635;76.95;7.23076875
B2;81;5B;1;81;76.95;81;1.366875
B2;85;0;0;0;0;0;0
B2;85;1;0.15;12.75;0;25.5;54.1875
B2;85;2;0.45;38.25;25.5;45.05;31.85020833
B2;85;3;0.61;51.85;45.05;58.65;15.41333333
B2;85;4;0.77;65.45;58.65;70.975;12.65880208
B2;85;5A;0.9;76.5;70.975;80.75;7.962552083
B2;85;5B;1;85;80.75;85;1.505208333
B2;86;0;0;0;0;0;0
B2;86;1;0.15;12.9;0;25.8;55.47
B2;86;2;0.45;38.7;25.8;45.58;32.60403333
B2;86;3;0.61;52.46;45.58;59.34;15.77813333
B2;86;4;0.77;66.22;59.34;71.81;12.95840833
B2;86;5A;0.9;77.4;71.81;81.7;8.151008333
B2;86;5B;1;86;81.7;86;1.540833333
B2;87;0;0;0;0;0;0
B2;87;1;0.15;13.05;0;26.1;56.7675
B2;87;2;0.45;39.15;26.1;46.11;33.366675
B2;87;3;0.61;53.07;46.11;60.03;16.1472
B2;87;4;0.77;66.99;60.03;72.645;13.26151875
B2;87;5A;0.9;78.3;72.645;82.65;8.34166875
B2;87;5B;1;87;82.65;87;1.576875
B2;89;0;0;0;0;0;0
B2;89;1;0.15;13.35;0;26.7;59.4075
B2;89;2;0.45;40.05;26.7;47.17;34.91840833
B2;89;3;0.61;54.29;47.17;61.41;16.89813333
B2;89;4;0.77;68.53;61.41;74.315;13.87825208
B2;89;5A;0.9;80.1;74.315;84.55;8.729602083
B2;89;5B;1;89;84.55;89;1.650208333
B2;90;0;0;0;0;0;0
B2;90;1;0.15;13.5;0;27;60.75
B2;90;2;0.45;40.5;27;47.7;35.7075
B2;90;3;0.61;54.9;47.7;62.1;17.28
B2;90;4;0.77;69.3;62.1;75.15;14.191875
B2;90;5A;0.9;81;75.15;85.5;8.926875
B2;90;5B;1;90;85.5;90;1.6875
B2;91;0;0;0;0;0;0
B2;91;1;0.15;13.65;0;27.3;62.1075
B2;91;2;0.45;40.95;27.3;48.23;36.50540833
B2;91;3;0.61;55.51;48.23;62.79;17.66613333
B2;91;4;0.77;70.07;62.79;75.985;14.50900208
B2;91;5A;0.9;81.9;75.985;86.45;9.126352083
B2;91;5B;1;91;86.45;91;1.725208333
B2;92;0;0;0;0;0;0
B2;92;1;0.15;13.8;0;27.6;63.48
B2;92;2;0.45;41.4;27.6;48.76;37.31213333
B2;92;3;0.61;56.12;48.76;63.48;18.05653333
B2;92;4;0.77;70.84;63.48;76.82;14.82963333
B2;92;5A;0.9;82.8;76.82;87.4;9.328033333
B2;92;5B;1;92;87.4;92;1.763333333
B2;93;0;0;0;0;0;0
B2;93;1;0.15;13.95;0;27.9;64.8675
B2;93;2;0.45;41.85;27.9;49.29;38.127675
B2;93;3;0.61;56.73;49.29;64.17;18.4512
B2;93;4;0.77;71.61;64.17;77.655;15.15376875
B2;93;5A;0.9;83.7;77.655;88.35;9.53191875
B2;93;5B;1;93;88.35;93;1.801875
B2;94;0;0;0;0;0;0
B2;94;1;0.15;14.1;0;28.2;66.27
B2;94;2;0.45;42.3;28.2;49.82;38.95203333
B2;94;3;0.61;57.34;49.82;64.86;18.85013333
B2;94;4;0.77;72.38;64.86;78.49;15.48140833
B2;94;5A;0.9;84.6;78.49;89.3;9.738008333
B2;94;5B;1;94;89.3;94;1.840833333
B2;95;0;0;0;0;0;0
B2;95;1;0.15;14.25;0;28.5;67.6875
B2;95;2;0.45;42.75;28.5;50.35;39.78520833
B2;95;3;0.61;57.95;50.35;65.55;19.25333333
B2;95;4;0.77;73.15;65.55;79.325;15.81255208
B2;95;5A;0.9;85.5;79.325;90.25;9.946302083
B2;95;5B;1;95;90.25;95;1.880208333
B2;96;0;0;0;0;0;0
B2;96;1;0.15;14.4;0;28.8;69.12
B2;96;2;0.45;43.2;28.8;50.88;40.6272
B2;96;3;0.61;58.56;50.88;66.24;19.6608
B2;96;4;0.77;73.92;66.24;80.16;16.1472
B2;96;5A;0.9;86.4;80.16;91.2;10.1568
B2;96;5B;1;96;91.2;96;1.92
B2;97;0;0;0;0;0;0
B2;97;1;0.15;14.55;0;29.1;70.5675
B2;97;2;0.45;43.65;29.1;51.41;41.47800833
B2;97;3;0.61;59.17;51.41;66.93;20.07253333
B2;97;4;0.77;74.69;66.93;80.995;16.48535208
B2;97;5A;0.9;87.3;80.995;92.15;10.36950208
B2;97;5B;1;97;92.15;97;1.960208333
B2;98;0;0;0;0;0;0
B2;98;1;0.15;14.7;0;29.4;72.03
B2;98;2;0.45;44.1;29.4;51.94;42.33763333
B2;98;3;0.61;59.78;51.94;67.62;20.48853333
B2;98;4;0.77;75.46;67.62;81.83;16.82700833
B2;98;5A;0.9;88.2;81.83;93.1;10.58440833
B2;98;5B;1;98;93.1;98;2.000833333
B2;99;0;0;0;0;0;0
B2;99;1;0.15;14.85;0;29.7;73.5075
B2;99;2;0.45;44.55;29.7;52.47;43.206075
B2;99;3;0.61;60.39;52.47;68.31;20.9088
B2;99;4;0.77;76.23;68.31;82.665;17.17216875
B2;99;5A;0.9;89.1;82.665;94.05;10.80151875
B2;99;5B;1;99;94.05;99;2.041875
B2;100;0;0;0;0;0;0
B2;100;1;0.15;15;0;30;75
B2;100;2;0.45;45;30;53;44.08333333
B2;100;3;0.61;61;53;69;21.33333333
B2;100;4;0.77;77;69;83.5;17.52083333
B2;100;5A;0.9;90;83.5;95;11.02083333
B2;100;5B;1;100;95;100;2.083333333
B2;101;0;0;0;0;0;0
B2;101;1;0.15;15.15;0;30.3;76.5075
B2;101;2;0.45;45.45;30.3;53.53;44.96940833
B2;101;3;0.61;61.61;53.53;69.69;21.76213333
B2;101;4;0.77;77.77;69.69;84.335;17.87300208
B2;101;5A;0.9;90.9;84.335;95.95;11.24235208
B2;101;5B;1;101;95.95;101;2.125208333
B2;102;0;0;0;0;0;0
B2;102;1;0.15;15.3;0;30.6;78.03
B2;102;2;0.45;45.9;30.6;54.06;45.8643
B2;102;3;0.61;62.22;54.06;70.38;22.1952
B2;102;4;0.77;78.54;70.38;85.17;18.228675
B2;102;5A;0.9;91.8;85.17;96.9;11.466075
B2;102;5B;1;102;96.9;102;2.1675
B2;105;0;0;0;0;0;0
B2;105;1;0.15;15.75;0;31.5;82.6875
B2;105;2;0.45;47.25;31.5;55.65;48.601875
B2;105;3;0.61;64.05;55.65;72.45;23.52
B2;105;4;0.77;80.85;72.45;87.675;19.31671875
B2;105;5A;0.9;94.5;87.675;99.75;12.15046875
B2;105;5B;1;105;99.75;105;2.296875
B2;106;0;0;0;0;0;0
B2;106;1;0.15;15.9;0;31.8;84.27
B2;106;2;0.45;47.7;31.8;56.18;49.53203333
B2;106;3;0.61;64.66;56.18;73.14;23.97013333
B2;106;4;0.77;81.62;73.14;88.51;19.68640833
B2;106;5A;0.9;95.4;88.51;100.7;12.38300833
B2;106;5B;1;106;100.7;106;2.340833333
C2;152;0;0;0;0;0;0
C2;152;1;0.13;19.76;0;33.44;93.18613333
C2;152;2;0.31;47.12;33.44;52.44;30.08333333
C2;152;3;0.38;57.76;52.44;81.32;69.50453333
