serviciousuariots;orden_parada;paradero;carga
101I;1;T-4-25-OP-5;9.4
101I;2;T-4-25-OP-10;12.7
101I;3;T-4-24-OP-5;18.5
101I;4;T-4-23-OP-5;24.8
101I;5;T-4-23-OP-10;29.4
101I;6;T-4-23-OP-15;32.3
101I;7;E-4-9-OP-5;28.0
101I;8;T-4-9-OP-10;28.0
101I;9;T-4-9-OP-15;28.8
101I;10;T-4-9-OP-17;30.2
101I;11;T-4-9-OP-20;32.6
101I;12;T-4-9-OP-25;32.3
101I;13;T-2-9-OP-10;34.1
101I;14;T-2-9-OP-15;33.2
101I;15;T-2-9-OP-20;28.4
101I;16;T-2-9-OP-30;28.7
101I;17;T-2-9-OP-35;28.5
101I;18;E-2-9-OP-55;31.5
101I;19;T-5-38-OP-10;32.3
101I;20;T-5-38-OP-20;32.5
101I;21;T-5-38-OP-25;34.0
101I;22;T-5-38-OP-30;35.8
101I;23;E-5-38-NS-5;28.5
101I;24;T-8-65-NS-5;29.5
101I;25;T-8-65-NS-10;31.8
101I;26;T-8-65-NS-15;33.2
101I;27;T-8-65-NS-20;34.4
101I;28;T-8-61-PO-20;37.4
101I;29;T-8-70-NS-3;36.4
101I;30;T-8-70-NS-5;37.5
101I;31;T-8-70-NS-10;37.8
101I;32;T-8-74-NS-5;38.4
101I;33;E-8-74-NS-10;38.8
101I;34;T-8-74-NS-15;39.9
101I;35;T-9-74-NS-5;39.6
101I;36;T-9-74-NS-10;33.2
101I;37;T-9-52-NS-3;34.5
101I;38;T-9-52-NS-5;34.6
101I;39;L-9-28-NS-10;34.8
101I;40;T-9-52-NS-10;35.6
101I;41;T-9-52-NS-15;35.6
101I;42;E-9-52-NS-20;26.2
101I;43;T-7-52-NS-5;25.9
101I;44;L-7-34-NS-15;25.8
101I;45;T-7-48-OP-30;24.0
101I;46;T-7-48-OP-35;23.1
101I;47;T-7-48-OP-40;22.4
101I;48;T-7-48-OP-45;22.8
101I;49;T-7-48-OP-50;22.5
101I;50;T-7-48-OP-55;20.4
101I;51;T-13-375-NS-2;20.9
101I;52;T-13-375-NS-5;20.8
101I;53;T-13-375-NS-10;23.4
101I;54;T-13-375-NS-15;25.4
101I;55;L-12-25-NS-20;26.4
101I;56;L-12-25-NS-25;27.5
101I;57;L-12-25-NS-27;24.5
101I;58;L-12-25-NS-31;19.7
101I;59;L-12-25-NS-45;19.3
101I;60;L-12-25-PO-55;19.8
101I;61;L-12-25-PO-65;13.8
101I;62;L-12-25-PO-75;12.7
101I;63;L-12-25-PO-80;12.7
101I;64;L-12-25-PO-85;10.2
101I;65;L-12-50-NS-35;9.1
101I;66;L-12-50-NS-40;6.8
101I;67;L-12-13-OP-35;6.8
101I;68;L-12-13-OP-30;5.8
101I;69;L-12-13-OP-25;5.7
101I;70;L-12-13-OP-20;5.7
101I;71;L-12-13-OP-15;4.4
101I;72;L-12-13-OP-5;3.6
101I;73;L-12-13-OP-10;3.5
101I;74;L-12-24-NS-5;3.7
101I;75;L-12-24-NS-10;3.7
101I;76;L-12-24-NS-15;2.9
101I;77;L-12-24-SN-15;1.5555555555555556
101I;78;L-12-24-SN-10;0.3333333333333333
101R;3;L-12-13-PO-6;16.0
101R;4;L-12-13-OP-15;18.181818181818183
101R;5;L-12-13-PO-15;21.818181818181817
101R;6;L-12-13-OP-25;23.727272727272727
101R;7;L-12-13-PO-25;23.545454545454547
101R;8;L-12-11-SN-15;25.181818181818183
101R;9;L-12-11-SN-10;27.181818181818183
101R;10;L-12-11-SN-5;32.63636363636363
101R;11;L-12-25-OP-60;31.0
101R;12;L-12-25-OP-50;39.63636363636363
101R;13;L-12-25-SN-40;42.0
101R;14;L-12-25-SN-35;47.63636363636363
101R;15;L-12-25-SN-30;54.18181818181818
101R;16;L-12-25-SN-20;55.72727272727273
101R;17;L-12-25-SN-15;62.36363636363637
101R;18;T-12-375-SN-2;67.0909090909091
101R;19;T-12-375-SN-5;70.72727272727273
101R;20;L-12-25-SN-10;74.27272727272727
101R;21;L-12-25-SN-5;77.81818181818181
101R;22;T-7-48-PO-5;81.81818181818181
101R;23;T-7-48-PO-10;82.0
101R;24;T-7-48-PO-15;82.72727272727273
101R;25;T-7-48-PO-20;83.45454545454545
101R;26;T-7-48-PO-25;83.45454545454545
101R;27;T-7-48-PO-30;82.72727272727273
101R;28;T-7-48-PO-35;81.18181818181819
101R;29;T-7-52-SN-25;79.81818181818181
101R;30;L-7-34-SN-2;47.81818181818182
101R;31;E-7-52-SN-30;51.36363636363637
101R;32;T-7-52-SN-35;52.09090909090909
101R;33;T-7-52-SN-40;53.63636363636363
101R;34;T-8-52-SN-5;54.36363636363637
101R;35;T-8-52-SN-10;53.81818181818182
101R;36;T-8-52-SN-15;61.90909090909091
101R;37;T-8-74-SN-5;63.45454545454545
101R;38;T-8-74-SN-10;63.81818181818182
101R;39;E-8-74-SN-15;61.36363636363637
101R;40;T-8-74-SN-20;58.18181818181818
101R;41;T-8-70-SN-2;60.45454545454545
101R;42;T-8-70-SN-3;62.0
101R;43;T-8-70-SN-5;56.36363636363637
101R;44;T-8-65-SN-5;57.27272727272727
101R;45;T-8-65-SN-10;59.27272727272727
101R;46;T-8-65-SN-15;61.18181818181818
101R;47;T-8-65-SN-20;60.09090909090909
101R;48;E-5-38-SN-5;65.45454545454545
101R;49;T-5-38-PO-3;65.81818181818181
101R;50;T-5-38-PO-5;66.36363636363636
101R;51;T-5-38-PO-10;63.63636363636363
101R;52;T-5-38-PO-20;57.54545454545455
101R;53;E-5-38-PO-30;41.54545454545455
101R;54;T-1-1-PO-5;39.18181818181818
101R;55;T-1-1-PO-15;36.72727272727273
101R;56;T-2-9-PO-10;29.454545454545453
101R;57;T-2-9-PO-15;29.545454545454547
101R;58;T-2-9-PO-20;30.818181818181817
101R;59;T-2-9-PO-25;33.18181818181818
101R;60;T-4-9-PO-10;35.09090909090909
101R;61;T-4-9-PO-12;36.81818181818182
101R;62;T-4-9-PO-15;36.27272727272727
101R;63;T-4-9-PO-20;35.72727272727273
101R;64;E-4-9-PO-25;15.0
101R;65;T-4-23-PO-5;14.545454545454545
101R;66;T-4-23-PO-10;13.272727272727273
101R;67;T-4-23-PO-15;6.181818181818182
101R;68;T-4-24-PO-5;2.5454545454545454
101R;69;T-4-24-PO-10;1.3636363636363635
101R;70;T-4-24-PO-15;0.0
101cI;1;T-8-52-SN-15;0.6666666666666666
101cI;2;T-8-71-PO-5;0.6666666666666666
101cI;3;T-8-71-PO-10;1.0
101cI;4;L-8-17-NS-17;1.0
101cI;5;L-8-17-NS-20;4.0
101cI;6;L-8-17-NS-25;4.333333333333333
101cI;7;T-8-70-NS-15;4.333333333333333
101cI;8;T-9-52-NS-10;13.666666666666666
101cI;9;T-9-52-NS-15;16.0
101cI;10;E-9-52-NS-20;16.333333333333332
101cI;11;T-7-52-NS-5;16.333333333333332
101cI;12;L-7-34-NS-15;16.333333333333332
101cI;13;T-7-48-OP-30;17.666666666666668
101cI;14;T-7-48-OP-35;18.0
101cI;15;T-7-48-OP-40;18.666666666666668
101cI;16;T-7-48-OP-45;20.0
101cI;17;T-7-48-OP-50;19.333333333333332
101cI;18;T-7-48-OP-55;16.333333333333332
101cI;19;T-13-375-NS-2;19.666666666666668
101cI;20;T-13-375-NS-5;19.666666666666668
101cI;21;T-13-375-NS-10;26.333333333333332
101cI;22;T-13-375-NS-15;28.666666666666668
101cI;23;L-12-25-NS-20;31.666666666666668
101cI;24;L-12-25-NS-25;30.333333333333332
101cI;25;L-12-25-NS-27;30.666666666666668
101cI;26;L-12-25-NS-31;32.333333333333336
101cI;27;L-12-25-NS-45;32.333333333333336
101cI;28;L-12-25-PO-55;32.333333333333336
101cI;29;L-12-25-PO-65;19.666666666666668
101cI;30;L-12-25-PO-75;18.666666666666668
101cI;31;L-12-25-PO-80;18.666666666666668
101cI;32;L-12-25-PO-85;15.0
101cI;33;L-12-50-NS-35;11.0
101cI;34;L-12-50-NS-40;4.666666666666667
101cI;35;L-12-13-OP-35;5.333333333333333
101cI;36;L-12-13-OP-30;4.0
101cI;37;L-12-13-OP-25;4.0
101cI;38;L-12-13-OP-20;1.6666666666666667
101cI;39;L-12-13-OP-15;1.0
101cI;40;L-12-13-OP-5;1.0
101cI;41;L-12-13-OP-10;1.0
