ot;periodo;serviciousuariots;orden_parada;paraderousuario;nombreparada;carga
P_OT03;1;401I;2.0;PI369;Avenida Portales esq. / La Galaxia;0.0
P_OT03;1;401I;3.0;PI370;La Galaxia esq. / Avenida Sur;0.0
P_OT03;1;401I;4.0;PI371;La Galaxia esq. / Nueva San Martín;0.0
P_OT03;1;401I;5.0;PI372;Av. Nueva San Martín esq. / Avenida 4 Poniente;1.0
P_OT03;1;401I;6.0;PI373;Av. Nueva San Martín esq. / Av. Las Naciones;1.0
P_OT03;1;401I;7.0;PI374;Av. Nueva San Martín esq. / Ramón Barros Luco;1.0
P_OT03;1;401I;8.0;PI375;Parada  / Boston College   Nueva Sn. Martín;1.0
P_OT03;1;401I;9.0;PI376;Av. Nueva San Martín esq. / El Olimpo;1.0
P_OT03;1;401I;10.0;PI377;Av. Nueva San Martín esq. / Carlomagno;1.0
P_OT03;1;401I;11.0;PI1674;Av. Nueva San Martín esq. / Los Diamantes;1.0
P_OT03;1;401I;12.0;PI378;Av. Nueva San Martín esq. / La Fortuna;1.0
P_OT03;1;401I;13.0;PI379;Av. Nueva San Martín esq. / Leopoldo Infante;1.0
P_OT03;1;401I;14.0;PI380;Av. Nueva San Martín esq. / Av. Los Pajaritos;1.0
P_OT03;1;401I;15.0;PI565;Avenida Los Pajaritos esq. / Cam. Melipilla;1.0
P_OT03;1;401I;16.0;PI1353;Parada 2 / Nueva O'Higgins   Pajaritos;1.0
P_OT03;1;401I;17.0;PI1351;Parada 2 / Fernando Riesco   Pajaritos;1.0
P_OT03;1;401I;18.0;PI1352;Parada 2 / Ricardo Ayala   Pajaritos;1.0
P_OT03;1;401I;19.0;PI386;Parada 1 / (M) Plaza   de Maipú;1.0
P_OT03;1;401I;20.0;PI231;Avenida Los Pajaritos esq. / Luis Gandarillas;1.0
P_OT03;1;401I;21.0;PI232;Avenida Los Pajaritos esq. / Av. Pérez Llona;1.0
P_OT03;1;401I;22.0;PI233;Avenida Los Pajaritos esq. / Alhué;1.0
P_OT03;1;401I;23.0;PI234;Parada 2 / (M) Santiago   Bueras;8.0
P_OT03;1;401I;24.0;PI235;Parada 2 / Paradero 14   Pajaritos;8.0
P_OT03;1;401I;25.0;PI236;Parada 2 / (M) Del Sol;8.0
P_OT03;1;401I;26.0;PI387;Parada 2 / Paradero 12   Pajaritos;8.0
P_OT03;1;401I;27.0;PI388;Parada  / Colegio Santa   María de Maipú;8.0
P_OT03;1;401I;28.0;PI389;Parada  / (M) Monte Tabor;9.0
P_OT03;1;401I;29.0;PI390;Parada 2 / Paradero 10   Pajaritos;9.0
P_OT03;1;401I;30.0;PI391;Parada 2 / (M) Las Parcelas;9.0
P_OT03;1;401I;31.0;PI392;Parada 2 / Paradero 8   Pajaritos;8.0
P_OT03;1;401I;32.0;PI393;Parada 2 / Paradero 7 1/2   Pajaritos;7.0
P_OT03;1;401I;33.0;PI394;Parada 2 / Paradero 7   Pajaritos;8.0
P_OT03;1;401I;34.0;PI395;Parada  / Paradero 6   Pajaritos;8.0
P_OT03;1;401I;35.0;PI396;Parada  / Paradero 5 1/2   Pajaritos;8.0
P_OT03;1;401I;36.0;PI397;Parada  / Paradero 5   Pajaritos;8.0
P_OT03;1;401I;37.0;PI398;Parada 2 / Paradero 4   Pajaritos;8.0
P_OT03;1;401I;38.0;PI1632;Alameda esq. / Pasaje El Lingue;8.0
P_OT03;1;401I;39.0;PI400;Parada 3 / (M) Las Rejas;8.0
P_OT03;1;401I;40.0;PI457;Parada 3 / (M) Ecuador;8.0
